,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
MGA,5.22467866897583,5.923751564025879,9.162869987487793,8.618031406402588,16.286686172485354,17.147410736083984,16.205827941894533,18.17226802825928,18.682469100952147,10.70939317703247,14.44585807800293,23.684571304321288,18.21304992675781,24.96876625061035,37.44326751708984,48.73602813720703,40.41856414794922,43.88500244140625,56.14714233398438,49.62058090209961,59.92161483764649,77.54108123779297,87.68836547851562,69.9701007080078,76.20676818847656,63.67428833007813
RBC,,,,,,,14.796661376953125,26.09675407409668,39.04497146606445,18.19306182861328,22.509136199951172,34.883697509765625,37.97052001953125,45.0364875793457,64.4223861694336,63.0773811340332,64.13093185424805,89.30313110351562,120.90007781982422,125.07660675048828,152.63777893066407,176.2069805908203,213.57380310058593,223.04000610351562,298.5800146484375,310.7799963378906
OHI,4.990164089202881,4.544132161140442,5.020377683639526,4.476664412021637,5.826711606979369,7.232580823898315,8.451690216064453,10.900730113983155,11.803282794952391,12.929471015930176,16.1055118560791,18.80080825805664,19.761109466552735,23.625870285034182,28.717105789184572,35.830222549438474,36.72077095031739,38.323102455139164,40.14158679962158,48.6509553527832,56.85503631591797,58.44887565612793,57.864929122924806,61.25860748291016,68.40369918823242,79.78358932495118
RTO,10.80302619934082,10.313688278198242,12.731426109313965,11.402046394348144,11.709352416992187,10.714030670166016,11.462895210266113,13.997670837402344,12.092486778259278,6.400997873306275,11.079514022827148,9.828190799713134,7.644351240158081,10.198738983154296,12.051195995330811,12.293177547454835,14.818530982971192,16.830596572875976,24.636768966674804,24.18239939880371,33.197198181152345,38.13708236694336,43.04376733398438,35.5502195892334,34.32749519348145,31.980177169799802
SOLV,,,,,,,,,,,,,,,,,,,,,,,,,,66.05000305175781
IEX,9.242485984313966,10.726589171386719,11.849202108825683,11.496787961914062,14.831432263793946,21.447085446533205,22.44017161291504,26.26993395727539,31.262875775512697,23.33328028601074,28.771249951538085,36.23597384375,35.54389635961914,44.34526461523438,69.41240389746093,75.70242800634766,76.99187411230469,91.08251498144531,131.79157870214843,127.71950014990234,176.0437033359375,202.94728304785156,243.92728365820312,242.10671542089844,236.25569796484376,233.51712008398437
BAX,10.509979186767579,16.529134339599608,20.29859070385742,11.848446390625,13.273199080566407,15.349853015625,16.99768252593994,20.80019419567871,26.12846366503906,24.663652842285156,28.151125101074218,26.014518005981444,26.674837220947264,34.989974529541016,38.43647577819824,42.58380090332031,42.274607814941405,48.576780361328126,67.25572719970702,69.07428539672851,86.73375271240235,84.72837978759766,93.42116024414062,63.037541317138675,53.839261135253906,46.088319896850585
VTRS,8.60050424243164,8.949001954101563,13.541849145446777,12.448357789794922,20.558788789550782,14.638762124816894,16.93356189135742,17.359877427856446,12.692839578430176,9.07928653125,16.463500932495116,18.580369905273436,18.820167497436522,23.33504481677246,36.557176545898436,48.15859027270508,46.24017138842773,32.62114329699707,36.061040834228514,23.624458268920897,17.141561464111327,16.06659121875,12.870565446655274,11.697420610229493,12.379267686645509,14.763035272399902
JEF,8.62050244152832,11.261522088897705,10.18144855847168,11.837872732879639,13.633917862426756,18.922178753723145,19.360021554199218,22.55855933618164,35.74697863366699,16.93405138757324,20.188906543518065,23.879667111450196,20.10911443170166,20.965846755615235,25.051293851562498,21.577982211853026,18.113891649108886,22.8596313704834,25.691419861083986,19.83760982458496,24.6671634921875,28.116286661621096,42.187848340576174,40.37790966882324,49.97222538842773,89.93555165185546
PAA,1.948351809501648,3.5321744298934936,5.29590997505188,6.3845047283172605,8.628424715042115,10.619164348602295,12.47725798034668,15.83817301940918,18.008987060546875,17.307712520599367,23.023888481140137,27.27871572113037,31.981438201904297,37.971736541748044,44.23626651000977,47.66143054199219,38.47960669708252,47.21797892761231,43.85360018920898,45.28701388549805,46.43088317108155,41.50849499893189,43.359904167175294,46.753856903076176,51.55440113830567,55.42406024932862
