,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ENDV,,,,,,,,,,,,,,51000.0,3100.0,1250.0,344.5,49.900001525878906,58.0,18.899999618530273,2.25,0.02630000002682209,0.01640000008046627,0.017999999225139618,0.008700000122189522,0.0005000000237487257
CDSG,3.330003023147583,5.772005081176758,2.2200019359588623,2.2200019359588623,1.332000970840454,2.5900020599365234,1.8500009775161743,3.700002908706665,6.380000114440918,0.019999999552965164,0.029999999329447746,0.25,0.10999999940395355,0.20999999344348907,0.1899999976158142,0.006000000052154064,0.09000000357627869,0.029999999329447746,0.03999999910593033,0.03999999910593033,0.014999999664723873,0.008999999612569809,0.38999998569488525,0.02850000001490116,0.03400000184774399,0.0013000000035390258
PLPL,200000.0,150000.0,51000.0,51000.0,7000.0,760.0,180.0,220.0,24.0,5.25,2.6500000953674316,0.8199999928474426,0.44999998807907104,0.05999999865889549,0.20999999344348907,0.3050000071525574,0.05009999871253967,0.02590000070631504,0.021199999377131462,0.0013000000035390258,0.0006000000284984708,0.00039999998989515007,0.000750000006519258,0.0003000000142492354,0.00019999999494757503,9.999999747378752e-05
EDGM,,,,,,,,,,,,,,,,,,,,,,,,0.10000000149011612,0.002199999988079071,0.003000000026077032
GSPI,0.05000000074505806,0.01600000075995922,0.008999999612569809,0.01600000075995922,0.05999999865889549,0.04500000178813934,0.03099999949336052,0.07599999755620956,0.05400000140070915,0.01850000023841858,0.008500000461935997,0.00430000014603138,0.005499999970197678,0.004100000020116568,0.002199999988079071,0.004000000189989805,0.0017000000225380063,0.0020000000949949026,0.0010000000474974513,0.0007999999797903001,0.000750000006519258,0.010999999940395355,0.004999999888241291,0.0019000000320374966,0.0032999999821186066,0.0007999999797903001
KITL,,,,,,,,,,,,,,,,,,,,,0.15000000596046448,0.12999999523162842,0.06255000084638596,0.010400000028312206,0.012000000104308128,0.0006000000284984708
KEGS,,,,,,,,,,,300.0,4.800000190734863,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.30000001192092896,0.6000000238418579,6.900000095367432,4.75,0.4000000059604645,0.10000000149011612,0.10000000149011612
APHD,,,,,,,,,,,20.0,40.0,132.5,37.5,22.5,12.5,1.5,2.75,1.0,1.524999976158142,3.5,1.587499976158142,4.025000095367432,0.1251000016927719,9.999999747378752e-05,0.00019999999494757503
SAML,,,,,,,,,,,,,,,,,,,2304.19580078125,13.63636302947998,49.93006896972656,2.0979020595550537,0.949999988079071,0.09019999951124191,0.025800000876188278,0.004699999932199717
ENSV,1.4103889465332031,4.061920642852783,2.9336092472076416,1.5345032215118408,4.377847671508789,9.522947311401367,24.371522903442383,13.165647506713867,10.057092666625977,2.9714136123657227,4.499977111816406,5.849969863891602,15.299922943115234,9.449952125549316,26.99986457824707,23.399883270263672,8.549957275390625,8.398457527160645,9.658451080322266,5.401472091674805,2.747836112976074,1.9500000476837158,0.8603000044822693,1.6299999952316284,0.25200000405311584,0.05689999833703041
EMED,,,,,,,,,,,,,,,,,,,,,2.049999952316284,0.3199999928474426,0.05372000113129616,0.0066999997943639755,0.000699999975040555,0.00039999998989515007
MASN,,,,,,,,,,,,4375000.0,500000.0,250000.0,62500.0,375000.0,62500.0,42500.0,43750.0,25.0,2.5,0.8400999903678894,0.10000000149011612,0.0026000000070780516,0.002300000051036477,0.0003499999875202775
SYRS,,,,,,,,,,,,,,,,,,121.5999984741211,97.30000305175781,55.54999923706055,70.0999984741211,118.69999694824219,33.0,3.5899999141693115,7.789999961853027,0.2502000033855438
DPUI,,,,,,,,,,,,,,,,,,,,,,,,0.007739999797195196,0.00019999999494757503,9.999999747378752e-05
EESH,,,,2.25,4.050000190734863,0.5699999928474426,0.699999988079071,0.6499999761581421,0.949999988079071,0.07000000029802322,0.07999999821186066,0.05000000074505806,0.029999999329447746,0.08100000023841858,0.1599999964237213,0.04309999942779541,0.07000000029802322,0.13500000536441803,0.06800000369548798,0.054999999701976776,0.061000000685453415,0.05000000074505806,0.029999999329447746,0.05999999865889549,0.0689999982714653,0.00039999998989515007
BISA,0.11999999731779099,0.07000000029802322,0.07000000029802322,0.019999999552965164,0.019999999552965164,0.0010000000474974513,0.0010000000474974513,0.0005000000237487257,0.0689999982714653,0.019999999552965164,0.017000000923871994,0.03400000184774399,0.0024999999441206455,0.0024999999441206455,9.999999747378752e-05,0.0010000000474974513,0.00019999999494757503,0.0010000000474974513,0.0010000000474974513,9.999999747378752e-06,0.0010000000474974513,0.04100000113248825,0.0430000014603138,0.017500000074505806,0.014000000432133675,0.03999999910593033
ECOX,,,,,,,,,,,,,,,0.699999988079071,0.800000011920929,0.10000000149011612,0.20000000298023224,0.30000001192092896,0.12555000185966492,0.029999999329447746,0.06599999964237213,0.007499999832361937,0.00019999999494757503,0.0001500000071246177,4.999999873689376e-05
CLCS,,,,,,,,,,,,,,,,0.3149999976158142,1.25,0.44999998807907104,0.27000001072883606,0.75,1.100000023841858,2.0199999809265137,1.2599999904632568,0.8500000238418579,0.46000000834465027,0.48750001192092896
WTII,,,,,,,,,,,13.300000190734863,4.5,4.5,1.1699999570846558,0.550000011920929,0.25999999046325684,0.05000000074505806,0.029999999329447746,0.014999999664723873,0.004100000020116568,0.002300000051036477,0.0019000000320374966,0.004100000020116568,0.00044999999227002263,0.0008500000112690032,0.0006000000284984708
BWMG,2228571.5,892857.125,14285.7138671875,7142.85693359375,1428.5714111328125,1000.0,271.4285583496094,2714.28564453125,1484.48046875,877.1929931640625,337.3819274902344,107.96221160888672,3.2399981021881104,0.6749989986419678,0.009999999776482582,0.0035000001080334187,0.00430000014603138,0.017000000923871994,0.03099999949336052,0.009089999832212925,0.02290000021457672,0.017100000753998756,0.035599999129772186,0.019600000232458115,0.012629999779164791,0.008899999782443047
KOAN,52500.0,15944.9443359375,4500.0,76145.0,24450.0,12600.0,8750.0,11600.0,850.0,850.0,180.0,449.0,78.0,11.0,15.100000381469727,150.0,20.600000381469727,1.100000023841858,0.5,0.6499000191688538,0.19939999282360077,0.14000000059604645,0.2800999879837036,0.032499998807907104,0.011099999770522118,0.003949999809265137
FAVO,,,,,,,355.0,265.0,75.0,30.0,5.449999809265137,2.4000000953674316,3.0,2.049999952316284,0.6000000238418579,1.1399999856948853,0.09000000357627869,0.15000000596046448,0.05999999865889549,0.4099999964237213,0.1274999976158142,0.03519999980926514,0.2800000011920929,0.12600000202655792,0.2680000066757202,0.2500999867916107
GIPL,,,,,22222222.0,64957264.0,44615384.0,32649572.0,3247863.25,18803.41796875,18803.41796875,17094.017578125,5128.205078125,10256.41015625,51282.05078125,3418.803466796875,5.28000020980835,3.200000047683716,3.7799999713897705,1.600000023841858,2.0,21.799999237060547,4.050000190734863,1.0499999523162842,1.100000023841858,0.10000000149011612
ACBM,,,,,,,,,,,,,,,,,,,,3.8499999046325684,3.640000104904175,2.9000000953674316,4.650000095367432,4.5,0.10499999672174454,0.000699999975040555
DWAY,,,,,,,,,,,,,,,,,,,,,,,,0.12999999523162842,0.04699999839067459,0.019999999552965164
SMFL,,,,,,,,,,,,,,,,,,,,,,,,740.2500610351562,11.549999237060547,0.008799999952316284
BMXC,,,,,,,,,,,,,,,,,,15664.3359375,2237.76220703125,839.1608276367188,279.72027587890625,839.1608276367188,24.0,3.9200000762939453,0.009999999776482582,0.005200000014156103
RTSL,,,,,,,,,,,,,,,,,,,14.725000381469727,10.0,7.75,19.0,7.199999809265137,0.75,0.004000000189989805,0.0020000000949949026
GXXM,,,,,,,,,,,,,,,,,,,57500.0,2112.0,1.0,0.021199999377131462,0.05249999836087227,0.000699999975040555,9.999999747378752e-05,9.999999747378752e-05
FMHS,797.2520141601562,328.5008239746094,1552.50390625,165.0004119873047,660.0016479492188,390.0009765625,270.00067138671875,540.0013427734375,540.0013427734375,4.500010967254639,10.275025367736816,0.6000009775161743,0.5250009894371033,0.4500010013580322,0.5099999904632568,0.07999999821186066,0.010999999940395355,0.019999999552965164,0.019999999552965164,0.10000000149011612,0.949999988079071,1.399999976158142,2.200000047683716,0.14000000059604645,0.20999999344348907,0.03999999910593033
ESSI,,,,,,,,,,,,,,5.0,3.5999999046325684,0.23999999463558197,0.007000000216066837,2.2100000381469727,0.054999999701976776,0.019999999552965164,0.014999999664723873,0.02199999988079071,0.00039999998989515007,,,0.0005000000237487257
FOMI,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.03310000151395798
CRDV,,29069768.0,32820706.0,26252.625,16501.650390625,1650.1650390625,1050.10498046875,750.0750122070312,300.0299987792969,450.0450134277344,150.0,8.199999809265137,0.800000011920929,0.30000001192092896,0.07999999821186066,0.07999999821186066,0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07000000029802322,0.7639999985694885,0.9200000166893005,2.8399999141693115,0.029999999329447746,0.10000000149011612,9.999999747378752e-05
ECXJ,,,,,,1020.0,1550.0,990.0,600.0,110.0,54.0,8.0,2.0,0.2199999988079071,0.4399999976158142,1.6399999856948853,0.4000000059604645,1.3839999437332153,2.0,1.399999976158142,4.199999809265137,0.8199999928474426,0.7400000095367432,0.6899999976158142,0.6899999976158142,9.999999747378752e-06
SINC,,,,,,,,,,,,,,,,1500000000.0,1900000000.0,55000000.0,190000000.0,500000000.0,100000.0,110000.0,56000.0,520.0,19990.0,90.0
RNGC,,,,,,,,,,,0.029999999329447746,0.2199999988079071,0.04500000178813934,0.010999999940395355,0.0035000001080334187,0.0031999999191612005,0.0035000001080334187,0.0013000000035390258,0.003000000026077032,0.004800000227987766,0.00039999998989515007,,,,,0.006000000052154064
ASPU,,,,,,,,,,,,,,9.600037574768066,2.040008068084717,2.100008010864258,1.7460060119628906,3.4260129928588867,8.920000076293945,5.46999979019165,7.71999979019165,10.84000015258789,2.4549999237060547,0.3100000023841858,0.17000000178813934,0.1599999964237213
